,id,const,row_max,row_min,row_ever,row_fangcha,colum_max,colum_min,colum_ever,colum_fangcha,neg_max,neg_min,neg_ever,neg_fangcha,dianli_max,dianli_min,dianli_ever,dianli_fangcha,sur_row,sur_colum,sur_neg,sur_dianli,center_elec_num,sur_elec_num,plus1,plus2,plus3,plus4,plus5,plus6,plus7,plus8,plus9,plus10,plus11,plus12,is_daoti,bulk_gap,gap,efm
0,665,1,5,5,5.0,0.0,14,14,14.0,0.0,1.96,1.96,1.96,0.0,708.6,708.6,708.6,0.0,4,16,2.55,941.0,4,6,3.8416,1844.36,1844.36,3.8416,3.8416,885481.0,25,3401663.81,3401663.81,9221.8,9221.8,3401663.81,1.0,0.0,0.713774,0.561976
1,1170,1,5,5,5.0,0.0,14,14,14.0,0.0,1.96,1.96,1.96,0.0,708.6,708.6,708.6,0.0,3,16,2.58,999.6,4,6,3.8416,1959.2160000000001,1959.2160000000001,3.8416,3.8416,999200.16,25,3838527.335,3838527.335,9796.08,9796.08,3838527.335,1.0,0.0,1.5266899999999999,0.704702
2,1186,1,5,5,5.0,0.0,4,4,4.0,0.0,1.33,1.33,1.33,0.0,640.1,640.1,640.1,0.0,3,16,2.58,999.6,4,6,1.7689,1329.4679999999998,1329.4679999999998,1.7689,1.7689,999200.16,25,1767485.1630000002,1767485.1630000002,6647.34,6647.34,1767485.1630000002,1.0,0.0,0.606054,0.305316
3,2928,1,4,3,3.75,0.1875,16,15,15.75,0.1875,2.55,2.0,2.46,0.0243,1011.8,941.0,958.7,939.87,4,8,1.83,762.5,6,8,6.273,1944.375,1875.75,6.5025,6.0516,581406.25,9,3780594.1410000003,3518438.063,5833.125,5627.25,3647161.4060000004,1.0,0.0,0.22994699999999998,2.513271
4,3342,1,4,3,3.5,0.25,15,12,13.5,2.25,2.19,1.65,1.92,0.0729,1011.8,906.4,959.1,2777.29,3,16,2.58,999.6,12,6,4.2048,2189.124,1919.2320000000002,4.7961,3.6864,999200.16,9,4792263.887,3683451.47,6567.371999999999,5757.696,4201436.833000001,1.0,0.0,2.323505,0.328484
5,3779,1,5,3,4.5,0.75,16,14,15.5,0.75,2.1,1.9,2.05,0.0075,869.3,786.5,848.6,1285.47,4,6,1.66,652.9,6,6,4.305,1371.09,1338.445,4.41,4.2025,426278.41,9,1879887.7880000002,1791435.0180000002,4113.27,4015.335,1835128.555,1.0,0.0,0.05942000000000001,2.215861
6,5328,1,5,3,4.0,1.0,15,12,13.5,2.25,2.19,1.69,1.94,0.0625,1011.8,867.8,939.8,5184.0,3,16,2.58,999.6,12,6,4.2486,2189.124,1939.224,4.7961,3.7636,999200.16,9,4792263.887,3760589.722,6567.371999999999,5817.672,4245201.8,1.0,0.0,1.824159,0.5651079999999999
7,6462,1,5,3,3.75,0.6875,15,5,11.5,16.75,2.19,1.63,1.985,0.053275,1011.8,650.9,851.375,26538.18188,3,16,2.58,999.6,11,6,4.34715,2189.124,1984.2060000000001,4.7961,3.940225,999200.16,9,4792263.887,3937073.45,6567.371999999999,5952.618,4343672.976,1.0,0.0,0.00404,0.165383
8,8616,1,5,3,3.75,0.6875,15,3,11.0,24.0,2.19,1.36,1.9175,0.114869,1011.8,633.1,846.925,28381.816880000002,3,16,2.58,999.6,11,6,4.199325,2189.124,1916.733,4.7961,3.67680625,999200.16,9,4792263.887,3673865.393,6567.371999999999,5750.1990000000005,4195966.212,1.0,0.0,2.083528,0.605657
9,9330,1,5,3,4.0,1.0,15,12,13.5,2.25,2.19,1.69,1.94,0.0625,1011.8,867.8,939.8,5184.0,3,16,2.58,999.6,12,6,4.2486,2189.124,1939.224,4.7961,3.7636,999200.16,9,4792263.887,3760589.722,6567.371999999999,5817.672,4245201.8,1.0,0.0,1.894149,0.6449090000000001
10,9984,1,5,5,5.0,0.0,14,14,14.0,0.0,1.96,1.96,1.96,0.0,708.6,708.6,708.6,0.0,3,16,2.58,999.6,4,6,3.8416,1959.2160000000001,1959.2160000000001,3.8416,3.8416,999200.16,25,3838527.335,3838527.335,9796.08,9796.08,3838527.335,1.0,0.0,1.52606,0.705172
11,22661,1,5,3,4.0,1.0,15,11,13.5,2.75,2.19,1.78,2.0225,0.030869,1011.8,558.3,828.225,37427.94188,3,16,2.58,999.6,3,6,4.429275,2189.124,2021.691,4.7961,4.09050625,999200.16,9,4792263.887,4087234.499,6567.371999999999,6065.073,4425732.289,1.0,0.0,1.343906,0.658216
12,22853,1,5,5,5.0,0.0,6,6,6.0,0.0,2.16,2.0,2.16,0.0,684.3,684.3,684.3,0.0,3,17,3.16,1251.2,6,7,4.6656,2702.592,2702.592,4.6656,4.6656,1565501.44,25,7304003.517999999,7304003.517999999,13512.96,13512.96,7304003.517999999,1.0,0.0,0.101969,8.071363999999999
13,22880,1,4,4,4.0,0.0,8,8,8.0,0.0,1.83,1.83,1.83,0.0,762.5,762.5,762.5,0.0,4,17,2.96,1139.9,8,7,3.3489,2086.0170000000003,2086.0170000000003,3.3489,3.3489,1299372.01,16,4351466.924,4351466.924,8344.068000000001,8344.068000000001,4351466.924,1.0,0.0,1.1239780000000001,3.9414309999999997
14,22881,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,3,17,3.16,1251.2,12,7,2.8561,2114.528,2114.528,2.8561,2.8561,1565501.44,25,4471228.663,4471228.663,10572.64,10572.64,4471228.663,0.0,2.03905114,3.676158,6.351714
15,22945,1,5,5,5.0,0.0,16,9,12.5,12.25,2.28,2.0,2.19,0.0081,869.3,719.7,794.5,5595.04,3,17,3.16,1251.2,6,7,4.9932,2852.736,2740.1279999999997,5.1984,4.7961,1565501.44,25,8138102.686000001,7508301.456,14263.68,13700.64,7816861.79,1.0,0.0,1.136651,3.6377309999999996
16,23173,1,6,6,6.0,0.0,12,12,12.0,0.0,2.0,2.0,2.0,0.0,1007.1,1007.1,1007.1,0.0,5,17,2.66,1008.4,12,7,4.0,2016.8,2016.8,4.0,4.0,1016870.56,36,4067482.24,4067482.24,12100.8,12100.8,4067482.24,1.0,0.0,1.379234,1.160168
17,23205,1,3,3,3.0,0.0,2,2,2.0,0.0,1.31,1.31,1.31,0.0,737.7,737.7,737.7,0.0,5,17,2.66,1008.4,2,7,1.7161,1321.004,1321.004,1.7161,1.7161,1016870.56,9,1745051.5680000002,1745051.5680000002,3963.012,3963.012,1745051.5680000002,0.0,1.4965116000000003,3.522693,6.1718470000000005
18,23210,1,3,3,3.0,0.0,2,2,2.0,0.0,1.31,1.31,1.31,0.0,737.7,737.7,737.7,0.0,3,17,3.16,1251.2,2,7,1.7161,1639.0720000000001,1639.0720000000001,1.7161,1.7161,1565501.44,9,2686557.021,2686557.021,4917.215999999999,4917.215999999999,2686557.021,0.0,3.02422814,5.983278,4.18163
19,23229,1,4,4,4.0,0.0,8,8,8.0,0.0,1.83,1.83,1.83,0.0,762.5,762.5,762.5,0.0,3,17,3.16,1251.2,8,7,3.3489,2289.696,2289.696,3.3489,3.3489,1565501.44,16,5242707.772,5242707.772,9158.784,9158.784,5242707.772,1.0,0.0,1.25066,5.977323
20,23275,1,4,4,4.0,0.0,4,4,4.0,0.0,1.54,1.54,1.54,0.0,658.8,658.8,658.8,0.0,3,17,3.16,1251.2,4,7,2.3716,1926.848,1926.848,2.3716,2.3716,1565501.44,16,3712743.215,3712743.215,7707.392,7707.392,3712743.215,1.0,0.0,0.777,3.2261330000000004
21,23281,1,5,5,5.0,0.0,15,15,15.0,0.0,2.05,2.0,2.05,0.0,834.0,834.0,834.0,0.0,5,17,2.66,1008.4,5,7,4.2025,2067.22,2067.22,4.2025,4.2025,1016870.56,25,4273398.528,4273398.528,10336.1,10336.1,4273398.528,0.0,0.7038429159999999,2.096564,1.262389
22,23292,1,6,6,6.0,0.0,12,12,12.0,0.0,2.0,2.0,2.0,0.0,1007.1,1007.1,1007.1,0.0,4,17,2.96,1139.9,12,7,4.0,2279.8,2279.8,4.0,4.0,1299372.01,36,5197488.04,5197488.04,13678.8,13678.8,5197488.04,0.0,2.33081835,1.9030049999999998,1.1330719999999999
23,23309,1,4,4,4.0,0.0,3,3,3.0,0.0,1.36,1.36,1.36,0.0,633.1,633.1,633.1,0.0,3,17,3.16,1251.2,3,7,1.8496,1701.632,1701.632,1.8496,1.8496,1565501.44,16,2895551.463,2895551.463,6806.528,6806.528,2895551.463,1.0,0.0,3.8710620000000002,1.7537310000000002
24,25469,1,3,3,3.0,0.0,13,13,13.0,0.0,1.61,1.61,1.61,0.0,577.5,577.5,577.5,0.0,3,17,3.16,1251.2,3,7,2.5921,2014.432,2014.432,2.5921,2.5921,1565501.44,9,4057936.2830000003,4057936.2830000003,6043.295999999999,6043.295999999999,4057936.2830000003,0.0,2.34436827,5.4801839999999995,1.662211
25,25593,1,4,4,4.0,0.0,10,10,10.0,0.0,1.91,1.91,1.91,0.0,737.1,737.1,737.1,0.0,2,16,3.44,1313.9,10,6,3.6481,2509.549,2509.549,3.6481,3.6481,1726333.21,16,6297836.182999999,6297836.182999999,10038.196,10038.196,6297836.182999999,1.0,0.0,1.652164,2.273709
26,27397,1,6,6,6.0,0.0,9,9,9.0,0.0,2.2,2.0,2.2,0.0,880.0,880.0,880.0,0.0,4,17,2.96,1139.9,9,7,4.84,2507.78,2507.78,4.84,4.84,1299372.01,36,6288960.528,6288960.528,15046.68,15046.68,6288960.528,1.0,0.0,1.889888,2.537454
27,27455,1,5,5,5.0,0.0,3,3,3.0,0.0,1.22,1.22,1.22,0.0,600.0,600.0,600.0,0.0,3,17,3.16,1251.2,3,7,1.4884,1526.464,1526.464,1.4884,1.4884,1565501.44,25,2330092.3430000003,2330092.3430000003,7632.32,7632.32,2330092.3430000003,1.0,0.0,4.742163,1.342881
28,27630,1,4,4,4.0,0.0,6,6,6.0,0.0,1.66,1.66,1.66,0.0,652.9,652.9,652.9,0.0,3,17,3.16,1251.2,6,7,2.7556,2076.992,2076.992,2.7556,2.7556,1565501.44,16,4313895.768,4313895.768,8307.968,8307.968,4313895.768,0.0,2.5924191000000003,0.09387000000000001,0.6659510000000001
29,27664,1,4,3,3.5,0.25,15,4,9.5,30.25,2.19,1.54,1.865,0.105625,1011.8,658.8,835.3,31152.25,3,17,3.16,1251.2,4,7,4.08435,2740.1279999999997,2333.488,4.7961,3.478225,1565501.44,9,7508301.456,5445166.246,8220.384,7000.464,6394055.806,0.0,2.3393618,2.426606,16.432479
30,27716,1,6,4,5.0,1.0,13,1,7.0,36.0,1.62,0.82,1.22,0.16,589.4,418.8,504.1,7276.09,2,16,3.44,1313.9,3,6,1.9764,2128.518,1602.9579999999999,2.6244,1.4884,1726333.21,16,4530588.876,2569474.35,8514.072,6411.831999999999,3411924.9560000002,1.0,0.0,0.9572309999999999,1.313653
31,27770,1,5,5,5.0,0.0,9,9,9.0,0.0,2.28,2.0,2.28,0.0,719.7,719.7,719.7,0.0,3,17,3.16,1251.2,9,7,5.1984,2852.736,2852.736,5.1984,5.1984,1565501.44,25,8138102.686000001,8138102.686000001,14263.68,14263.68,8138102.686000001,1.0,0.0,1.895487,2.863292
32,27871,1,5,5,5.0,0.0,9,9,9.0,0.0,2.28,2.0,2.28,0.0,719.7,719.7,719.7,0.0,4,17,2.96,1139.9,9,7,5.1984,2598.972,2598.972,5.1984,5.1984,1299372.01,25,6754655.457,6754655.457,12994.86,12994.86,6754655.457,0.0,2.10686927,1.6475520000000001,4.483230000000001
33,27922,1,4,4,4.0,0.0,14,14,14.0,0.0,2.01,2.0,2.01,0.0,762.0,762.0,762.0,0.0,5,17,2.66,1008.4,4,7,4.0401,2026.884,2026.884,4.0401,4.0401,1016870.56,16,4108258.749,4108258.749,8107.536,8107.536,4108258.749,1.0,0.0,1.976303,0.66166
34,27934,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,4,17,2.96,1139.9,12,7,2.8561,1926.431,1926.431,2.8561,2.8561,1299372.01,25,3711136.398,3711136.398,9632.155,9632.155,3711136.398,0.0,2.19457711,3.099687,10.384627
35,28117,1,4,4,4.0,0.0,5,5,5.0,0.0,1.63,1.63,1.63,0.0,650.9,650.9,650.9,0.0,3,17,3.16,1251.2,5,7,2.6569,2039.4560000000001,2039.4560000000001,2.6569,2.6569,1565501.44,16,4159380.776,4159380.776,8157.8240000000005,8157.8240000000005,4159380.776,1.0,0.0,0.13033499999999998,1.050958
36,28208,1,5,4,4.5,0.25,8,4,6.0,4.0,1.83,1.33,1.58,0.0625,762.5,640.1,701.3,3745.44,3,17,3.16,1251.2,4,7,2.8914,2289.696,1976.896,3.3489,2.4964,1565501.44,16,5242707.772,3908117.795,9158.784,7907.584,4526490.864,1.0,0.0,1.535986,11.751044
37,28214,1,4,4,4.0,0.0,4,4,4.0,0.0,1.54,1.54,1.54,0.0,658.8,658.8,658.8,0.0,4,17,2.96,1139.9,4,7,2.3716,1755.4460000000001,1755.4460000000001,2.3716,2.3716,1299372.01,16,3081590.659,3081590.659,7021.784000000001,7021.784000000001,3081590.659,0.0,2.3147437,0.7328439999999999,3.372755
38,28220,1,6,4,5.0,1.0,8,4,6.0,4.0,1.83,1.3,1.565,0.070225,762.5,658.5,710.5,2704.0,3,17,3.16,1251.2,4,7,2.86395,2289.696,1958.128,3.3489,2.449225,1565501.44,16,5242707.772,3834265.264,9158.784,7832.512,4483517.848999999,1.0,0.0,1.6105180000000001,2.029169
39,28248,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,5,17,2.66,1008.4,12,7,2.8561,1704.1960000000001,1704.1960000000001,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,1.0,0.0,2.260795,1.9230630000000002
40,28293,1,5,3,4.0,1.0,15,14,14.5,0.25,2.19,1.96,2.075,0.013225,1011.8,708.6,860.2,22982.56,3,17,3.16,1251.2,4,7,4.54425,2740.1279999999997,2596.24,4.7961,4.305625,1565501.44,9,7508301.456,6740462.137999999,8220.384,7788.72,7114029.919,0.0,2.44192623,2.690081,7.791946
41,28479,1,4,2,3.333333,0.8888889999999999,14,3,6.6666669999999995,26.888889000000002,2.55,1.36,1.7566669999999998,0.314689,1086.5,633.1,784.233333,45682.568889999995,3,17,3.16,1251.2,3,7,4.47950085,3190.56,2197.94175,6.5025,3.0858789489999996,1565501.44,4,10179673.11,4830947.938,6381.12,4395.883500999999,7012665.031,1.0,0.0,0.8475739999999999,1.441668
42,29422,1,6,6,6.0,0.0,4,4,4.0,0.0,1.3,1.3,1.3,0.0,658.5,658.5,658.5,0.0,3,17,3.16,1251.2,4,7,1.69,1626.56,1626.56,1.69,1.69,1565501.44,36,2645697.434,2645697.434,9759.36,9759.36,2645697.434,0.0,3.08549269,3.770885,1.117996
43,30031,1,4,4,4.0,0.0,2,2,2.0,0.0,1.0,1.0,1.0,0.0,589.8,589.8,589.8,0.0,5,17,2.66,1008.4,2,7,1.0,1008.4,1008.4,1.0,1.0,1016870.56,16,1016870.56,1016870.56,4033.6,4033.6,1016870.56,0.0,1.62246641,3.5951720000000003,1.298106
44,30034,1,3,3,3.0,0.0,2,2,2.0,0.0,1.31,1.31,1.31,0.0,737.7,737.7,737.7,0.0,4,17,2.96,1139.9,2,7,1.7161,1493.269,1493.269,1.7161,1.7161,1299372.01,9,2229852.306,2229852.306,4479.807,4479.807,2229852.306,0.0,2.05335338,4.84885,3.8043169999999997
45,30943,1,4,3,3.75,0.1875,16,2,12.5,36.75,2.55,1.31,2.24,0.2883,941.0,737.7,890.175,7749.541875,3,15,2.19,1011.8,6,5,5.712000000000001,2580.09,2266.4320000000002,6.5025,5.0176,1023739.24,9,6656864.408,5136714.011,7740.27,6799.295999999999,5847598.539,1.0,0.0,1.9116090000000001,0.47496400000000005
46,31040,1,5,5,5.0,0.0,5,5,5.0,0.0,1.6,1.6,1.6,0.0,652.1,652.1,652.1,0.0,3,17,3.16,1251.2,5,7,2.56,2001.92,2001.92,2.56,2.56,1565501.44,25,4007683.686,4007683.686,10009.6,10009.6,4007683.686,0.0,2.26301104,1.1883620000000001,15.235325
47,31220,1,5,3,4.5,0.75,16,13,15.25,1.6875,2.1,1.61,1.9775,0.045018999999999997,869.3,577.5,796.35,15965.1075,3,14,1.9,786.5,6,4,4.15275,1651.65,1555.30375,4.41,3.91050625,618582.25,9,2727947.723,2418969.755,4954.95,4665.91125,2568817.4390000002,1.0,0.0,1.27684,0.332303
48,35925,1,4,4,4.0,0.0,10,10,10.0,0.0,1.91,1.91,1.91,0.0,737.1,737.1,737.1,0.0,2,16,3.44,1313.9,10,6,3.6481,2509.549,2509.549,3.6481,3.6481,1726333.21,16,6297836.182999999,6297836.182999999,10038.196,10038.196,6297836.182999999,1.0,0.0,1.56241,2.544705
49,505000,1,5,2,3.5,2.25,16,6,11.0,25.0,3.44,2.0,2.8,0.4096,1313.9,684.3,999.1,99099.04,3,17,3.16,1251.2,6,7,9.632,4304.128,3503.36,11.8336,7.84,1565501.44,4,18525517.84,12273531.29,8608.256,7006.72,15078909.87,0.0,2.78797204,1.350745,2.255673
50,541013,1,4,4,4.0,0.0,4,4,4.0,0.0,1.54,1.54,1.54,0.0,658.8,658.8,658.8,0.0,5,17,2.66,1008.4,4,7,2.3716,1552.9360000000001,1552.9360000000001,2.3716,2.3716,1016870.56,16,2411610.22,2411610.22,6211.744000000001,6211.744000000001,2411610.22,0.0,1.07607326,1.155723,0.493947
51,541610,1,4,4,4.0,0.0,14,14,14.0,0.0,2.01,2.0,2.01,0.0,762.0,762.0,762.0,0.0,4,17,2.96,1139.9,4,7,4.0401,2291.199,2291.199,4.0401,4.0401,1299372.01,16,5249592.858,5249592.858,9164.796,9164.796,5249592.858,0.0,2.21312076,2.167238,1.1811719999999999
52,543096,1,4,4,4.0,0.0,10,10,10.0,0.0,1.91,1.91,1.91,0.0,737.1,737.1,737.1,0.0,2,16,3.44,1313.9,10,6,3.6481,2509.549,2509.549,3.6481,3.6481,1726333.21,16,6297836.182999999,6297836.182999999,10038.196,10038.196,6297836.182999999,1.0,0.0,1.645843,2.563102
53,567259,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,5,17,2.66,1008.4,12,7,2.8561,1704.1960000000001,1704.1960000000001,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,1.0,0.0,2.260823,1.925466
