id,const,row_max,row_min,row_ever,row_fangcha,colum_max,colum_min,colum_ever,colum_fangcha,neg_max,neg_min,neg_ever,neg_fangcha,dianli_max,dianli_min,dianli_ever,dianli_fangcha,sur_row,sur_colum,sur_neg,sur_dianli,center_elec_num,sur_elec_num,plus1,plus2,plus3,plus4,plus5,plus6,plus7,plus8,plus9,plus10,plus11,plus12,is_daoti,bulk_gap,gap,efm
665,1,5,5,5,0,14,14,14,0,1.96,1.96,1.96,0,708.6,708.6,708.6,0,4,16,2.55,941,4,6,3.8416,1844.36,1844.36,3.8416,3.8416,885481,25,3401663.81,3401663.81,9221.8,9221.8,3401663.81,2,5,0.713774,0.561976
1170,1,5,5,5,0,14,14,14,0,1.96,1.96,1.96,0,708.6,708.6,708.6,0,3,16,2.58,999.6,4,6,3.8416,1959.216,1959.216,3.8416,3.8416,999200.16,25,3838527.335,3838527.335,9796.08,9796.08,3838527.335,2,5,1.52669,0.704702
1186,1,5,5,5,0,4,4,4,0,1.33,1.33,1.33,0,640.1,640.1,640.1,0,3,16,2.58,999.6,4,6,1.7689,1329.468,1329.468,1.7689,1.7689,999200.16,25,1767485.163,1767485.163,6647.34,6647.34,1767485.163,2,5,0.606054,0.305316
2928,1,4,3,3.75,0.1875,16,15,15.75,0.1875,2.55,2,2.46,0.0243,1011.8,941,958.7,939.87,4,8,1.83,762.5,6,8,6.273,1944.375,1875.75,6.5025,6.0516,581406.25,9,3780594.141,3518438.063,5833.125,5627.25,3647161.406,2,5,0.229947,2.513271
3342,1,4,3,3.5,0.25,15,12,13.5,2.25,2.19,1.65,1.92,0.0729,1011.8,906.4,959.1,2777.29,3,16,2.58,999.6,12,6,4.2048,2189.124,1919.232,4.7961,3.6864,999200.16,9,4792263.887,3683451.47,6567.372,5757.696,4201436.833,2,5,2.323505,0.328484
3779,1,5,3,4.5,0.75,16,14,15.5,0.75,2.1,1.9,2.05,0.0075,869.3,786.5,848.6,1285.47,4,6,1.66,652.9,6,6,4.305,1371.09,1338.445,4.41,4.2025,426278.41,9,1879887.788,1791435.018,4113.27,4015.335,1835128.555,2,5,0.05942,2.215861
5328,1,5,3,4,1,15,12,13.5,2.25,2.19,1.69,1.94,0.0625,1011.8,867.8,939.8,5184,3,16,2.58,999.6,12,6,4.2486,2189.124,1939.224,4.7961,3.7636,999200.16,9,4792263.887,3760589.722,6567.372,5817.672,4245201.8,2,5,1.824159,0.565108
6462,1,5,3,3.75,0.6875,15,5,11.5,16.75,2.19,1.63,1.985,0.053275,1011.8,650.9,851.375,26538.18188,3,16,2.58,999.6,11,6,4.34715,2189.124,1984.206,4.7961,3.940225,999200.16,9,4792263.887,3937073.45,6567.372,5952.618,4343672.976,2,5,0.00404,0.165383
8616,1,5,3,3.75,0.6875,15,3,11,24,2.19,1.36,1.9175,0.114869,1011.8,633.1,846.925,28381.81688,3,16,2.58,999.6,11,6,4.199325,2189.124,1916.733,4.7961,3.67680625,999200.16,9,4792263.887,3673865.393,6567.372,5750.199,4195966.212,2,5,2.083528,0.605657
9330,1,5,3,4,1,15,12,13.5,2.25,2.19,1.69,1.94,0.0625,1011.8,867.8,939.8,5184,3,16,2.58,999.6,12,6,4.2486,2189.124,1939.224,4.7961,3.7636,999200.16,9,4792263.887,3760589.722,6567.372,5817.672,4245201.8,2,5,1.894149,0.644909
9984,1,5,5,5,0,14,14,14,0,1.96,1.96,1.96,0,708.6,708.6,708.6,0,3,16,2.58,999.6,4,6,3.8416,1959.216,1959.216,3.8416,3.8416,999200.16,25,3838527.335,3838527.335,9796.08,9796.08,3838527.335,2,5,1.52606,0.705172
22661,1,5,3,4,1,15,11,13.5,2.75,2.19,1.78,2.0225,0.030869,1011.8,558.3,828.225,37427.94188,3,16,2.58,999.6,3,6,4.429275,2189.124,2021.691,4.7961,4.09050625,999200.16,9,4792263.887,4087234.499,6567.372,6065.073,4425732.289,2,5,1.343906,0.658216
22853,1,5,5,5,0,6,6,6,0,2.16,2,2.16,0,684.3,684.3,684.3,0,3,17,3.16,1251.2,6,7,4.6656,2702.592,2702.592,4.6656,4.6656,1565501.44,25,7304003.518,7304003.518,13512.96,13512.96,7304003.518,2,5,0.101969,8.071364
22880,1,4,4,4,0,8,8,8,0,1.83,1.83,1.83,0,762.5,762.5,762.5,0,4,17,2.96,1139.9,8,7,3.3489,2086.017,2086.017,3.3489,3.3489,1299372.01,16,4351466.924,4351466.924,8344.068,8344.068,4351466.924,2,5,1.123978,3.941431
22881,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,3,17,3.16,1251.2,12,7,2.8561,2114.528,2114.528,2.8561,2.8561,1565501.44,25,4471228.663,4471228.663,10572.64,10572.64,4471228.663,2,5,3.676158,6.351714
22945,1,5,5,5,0,16,9,12.5,12.25,2.28,2,2.19,0.0081,869.3,719.7,794.5,5595.04,3,17,3.16,1251.2,6,7,4.9932,2852.736,2740.128,5.1984,4.7961,1565501.44,25,8138102.686,7508301.456,14263.68,13700.64,7816861.79,2,5,1.136651,3.637731
23173,1,6,6,6,0,12,12,12,0,2,2,2,0,1007.1,1007.1,1007.1,0,5,17,2.66,1008.4,12,7,4,2016.8,2016.8,4,4,1016870.56,36,4067482.24,4067482.24,12100.8,12100.8,4067482.24,2,5,1.379234,1.160168
23205,1,3,3,3,0,2,2,2,0,1.31,1.31,1.31,0,737.7,737.7,737.7,0,5,17,2.66,1008.4,2,7,1.7161,1321.004,1321.004,1.7161,1.7161,1016870.56,9,1745051.568,1745051.568,3963.012,3963.012,1745051.568,2,5,3.522693,6.171847
23210,1,3,3,3,0,2,2,2,0,1.31,1.31,1.31,0,737.7,737.7,737.7,0,3,17,3.16,1251.2,2,7,1.7161,1639.072,1639.072,1.7161,1.7161,1565501.44,9,2686557.021,2686557.021,4917.216,4917.216,2686557.021,2,5,5.983278,4.18163
23229,1,4,4,4,0,8,8,8,0,1.83,1.83,1.83,0,762.5,762.5,762.5,0,3,17,3.16,1251.2,8,7,3.3489,2289.696,2289.696,3.3489,3.3489,1565501.44,16,5242707.772,5242707.772,9158.784,9158.784,5242707.772,2,5,1.25066,5.977323
23275,1,4,4,4,0,4,4,4,0,1.54,1.54,1.54,0,658.8,658.8,658.8,0,3,17,3.16,1251.2,4,7,2.3716,1926.848,1926.848,2.3716,2.3716,1565501.44,16,3712743.215,3712743.215,7707.392,7707.392,3712743.215,2,5,0.777,3.226133
23281,1,5,5,5,0,15,15,15,0,2.05,2,2.05,0,834,834,834,0,5,17,2.66,1008.4,5,7,4.2025,2067.22,2067.22,4.2025,4.2025,1016870.56,25,4273398.528,4273398.528,10336.1,10336.1,4273398.528,2,5,2.096564,1.262389
23292,1,6,6,6,0,12,12,12,0,2,2,2,0,1007.1,1007.1,1007.1,0,4,17,2.96,1139.9,12,7,4,2279.8,2279.8,4,4,1299372.01,36,5197488.04,5197488.04,13678.8,13678.8,5197488.04,2,5,1.903005,1.133072
23309,1,4,4,4,0,3,3,3,0,1.36,1.36,1.36,0,633.1,633.1,633.1,0,3,17,3.16,1251.2,3,7,1.8496,1701.632,1701.632,1.8496,1.8496,1565501.44,16,2895551.463,2895551.463,6806.528,6806.528,2895551.463,2,5,3.871062,1.753731
25469,1,3,3,3,0,13,13,13,0,1.61,1.61,1.61,0,577.5,577.5,577.5,0,3,17,3.16,1251.2,3,7,2.5921,2014.432,2014.432,2.5921,2.5921,1565501.44,9,4057936.283,4057936.283,6043.296,6043.296,4057936.283,2,5,5.480184,1.662211
25593,1,4,4,4,0,10,10,10,0,1.91,1.91,1.91,0,737.1,737.1,737.1,0,2,16,3.44,1313.9,10,6,3.6481,2509.549,2509.549,3.6481,3.6481,1726333.21,16,6297836.183,6297836.183,10038.196,10038.196,6297836.183,2,5,1.652164,2.273709
27397,1,6,6,6,0,9,9,9,0,2.2,2,2.2,0,880,880,880,0,4,17,2.96,1139.9,9,7,4.84,2507.78,2507.78,4.84,4.84,1299372.01,36,6288960.528,6288960.528,15046.68,15046.68,6288960.528,2,5,1.889888,2.537454
27455,1,5,5,5,0,3,3,3,0,1.22,1.22,1.22,0,600,600,600,0,3,17,3.16,1251.2,3,7,1.4884,1526.464,1526.464,1.4884,1.4884,1565501.44,25,2330092.343,2330092.343,7632.32,7632.32,2330092.343,2,5,4.742163,1.342881
27630,1,4,4,4,0,6,6,6,0,1.66,1.66,1.66,0,652.9,652.9,652.9,0,3,17,3.16,1251.2,6,7,2.7556,2076.992,2076.992,2.7556,2.7556,1565501.44,16,4313895.768,4313895.768,8307.968,8307.968,4313895.768,2,5,0.09387,0.665951
27664,1,4,3,3.5,0.25,15,4,9.5,30.25,2.19,1.54,1.865,0.105625,1011.8,658.8,835.3,31152.25,3,17,3.16,1251.2,4,7,4.08435,2740.128,2333.488,4.7961,3.478225,1565501.44,9,7508301.456,5445166.246,8220.384,7000.464,6394055.806,2,5,2.426606,16.432479
27716,1,6,4,5,1,13,1,7,36,1.62,0.82,1.22,0.16,589.4,418.8,504.1,7276.09,2,16,3.44,1313.9,3,6,1.9764,2128.518,1602.958,2.6244,1.4884,1726333.21,16,4530588.876,2569474.35,8514.072,6411.832,3411924.956,2,5,0.957231,1.313653
27770,1,5,5,5,0,9,9,9,0,2.28,2,2.28,0,719.7,719.7,719.7,0,3,17,3.16,1251.2,9,7,5.1984,2852.736,2852.736,5.1984,5.1984,1565501.44,25,8138102.686,8138102.686,14263.68,14263.68,8138102.686,2,5,1.895487,2.863292
27871,1,5,5,5,0,9,9,9,0,2.28,2,2.28,0,719.7,719.7,719.7,0,4,17,2.96,1139.9,9,7,5.1984,2598.972,2598.972,5.1984,5.1984,1299372.01,25,6754655.457,6754655.457,12994.86,12994.86,6754655.457,2,5,1.647552,4.48323
27922,1,4,4,4,0,14,14,14,0,2.01,2,2.01,0,762,762,762,0,5,17,2.66,1008.4,4,7,4.0401,2026.884,2026.884,4.0401,4.0401,1016870.56,16,4108258.749,4108258.749,8107.536,8107.536,4108258.749,2,5,1.976303,0.66166
27934,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,4,17,2.96,1139.9,12,7,2.8561,1926.431,1926.431,2.8561,2.8561,1299372.01,25,3711136.398,3711136.398,9632.155,9632.155,3711136.398,2,5,3.099687,10.384627
28117,1,4,4,4,0,5,5,5,0,1.63,1.63,1.63,0,650.9,650.9,650.9,0,3,17,3.16,1251.2,5,7,2.6569,2039.456,2039.456,2.6569,2.6569,1565501.44,16,4159380.776,4159380.776,8157.824,8157.824,4159380.776,2,5,0.130335,1.050958
28208,1,5,4,4.5,0.25,8,4,6,4,1.83,1.33,1.58,0.0625,762.5,640.1,701.3,3745.44,3,17,3.16,1251.2,4,7,2.8914,2289.696,1976.896,3.3489,2.4964,1565501.44,16,5242707.772,3908117.795,9158.784,7907.584,4526490.864,2,5,1.535986,11.751044
28214,1,4,4,4,0,4,4,4,0,1.54,1.54,1.54,0,658.8,658.8,658.8,0,4,17,2.96,1139.9,4,7,2.3716,1755.446,1755.446,2.3716,2.3716,1299372.01,16,3081590.659,3081590.659,7021.784,7021.784,3081590.659,2,5,0.732844,3.372755
28220,1,6,4,5,1,8,4,6,4,1.83,1.3,1.565,0.070225,762.5,658.5,710.5,2704,3,17,3.16,1251.2,4,7,2.86395,2289.696,1958.128,3.3489,2.449225,1565501.44,16,5242707.772,3834265.264,9158.784,7832.512,4483517.849,2,5,1.610518,2.029169
28248,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260795,1.923063
28293,1,5,3,4,1,15,14,14.5,0.25,2.19,1.96,2.075,0.013225,1011.8,708.6,860.2,22982.56,3,17,3.16,1251.2,4,7,4.54425,2740.128,2596.24,4.7961,4.305625,1565501.44,9,7508301.456,6740462.138,8220.384,7788.72,7114029.919,2,5,2.690081,7.791946
28479,1,4,2,3.333333,0.888889,14,3,6.666667,26.888889,2.55,1.36,1.756667,0.314689,1086.5,633.1,784.233333,45682.56889,3,17,3.16,1251.2,3,7,4.47950085,3190.56,2197.94175,6.5025,3.085878949,1565501.44,4,10179673.11,4830947.938,6381.12,4395.883501,7012665.031,2,5,0.847574,1.441668
29422,1,6,6,6,0,4,4,4,0,1.3,1.3,1.3,0,658.5,658.5,658.5,0,3,17,3.16,1251.2,4,7,1.69,1626.56,1626.56,1.69,1.69,1565501.44,36,2645697.434,2645697.434,9759.36,9759.36,2645697.434,2,5,3.770885,1.117996
30031,1,4,4,4,0,2,2,2,0,1,1,1,0,589.8,589.8,589.8,0,5,17,2.66,1008.4,2,7,1,1008.4,1008.4,1,1,1016870.56,16,1016870.56,1016870.56,4033.6,4033.6,1016870.56,2,5,3.595172,1.298106
30034,1,3,3,3,0,2,2,2,0,1.31,1.31,1.31,0,737.7,737.7,737.7,0,4,17,2.96,1139.9,2,7,1.7161,1493.269,1493.269,1.7161,1.7161,1299372.01,9,2229852.306,2229852.306,4479.807,4479.807,2229852.306,2,5,4.84885,3.804317
30943,1,4,3,3.75,0.1875,16,2,12.5,36.75,2.55,1.31,2.24,0.2883,941,737.7,890.175,7749.541875,3,15,2.19,1011.8,6,5,5.712,2580.09,2266.432,6.5025,5.0176,1023739.24,9,6656864.408,5136714.011,7740.27,6799.296,5847598.539,2,5,1.911609,0.474964
31040,1,5,5,5,0,5,5,5,0,1.6,1.6,1.6,0,652.1,652.1,652.1,0,3,17,3.16,1251.2,5,7,2.56,2001.92,2001.92,2.56,2.56,1565501.44,25,4007683.686,4007683.686,10009.6,10009.6,4007683.686,2,5,1.188362,15.235325
31220,1,5,3,4.5,0.75,16,13,15.25,1.6875,2.1,1.61,1.9775,0.045019,869.3,577.5,796.35,15965.1075,3,14,1.9,786.5,6,4,4.15275,1651.65,1555.30375,4.41,3.91050625,618582.25,9,2727947.723,2418969.755,4954.95,4665.91125,2568817.439,2,5,1.27684,0.332303
35925,1,4,4,4,0,10,10,10,0,1.91,1.91,1.91,0,737.1,737.1,737.1,0,2,16,3.44,1313.9,10,6,3.6481,2509.549,2509.549,3.6481,3.6481,1726333.21,16,6297836.183,6297836.183,10038.196,10038.196,6297836.183,2,5,1.56241,2.544705
505000,1,5,2,3.5,2.25,16,6,11,25,3.44,2,2.8,0.4096,1313.9,684.3,999.1,99099.04,3,17,3.16,1251.2,6,7,9.632,4304.128,3503.36,11.8336,7.84,1565501.44,4,18525517.84,12273531.29,8608.256,7006.72,15078909.87,2,5,1.350745,2.255673
541013,1,4,4,4,0,4,4,4,0,1.54,1.54,1.54,0,658.8,658.8,658.8,0,5,17,2.66,1008.4,4,7,2.3716,1552.936,1552.936,2.3716,2.3716,1016870.56,16,2411610.22,2411610.22,6211.744,6211.744,2411610.22,2,5,1.155723,0.493947
541610,1,4,4,4,0,14,14,14,0,2.01,2,2.01,0,762,762,762,0,4,17,2.96,1139.9,4,7,4.0401,2291.199,2291.199,4.0401,4.0401,1299372.01,16,5249592.858,5249592.858,9164.796,9164.796,5249592.858,2,5,2.167238,1.181172
543096,1,4,4,4,0,10,10,10,0,1.91,1.91,1.91,0,737.1,737.1,737.1,0,2,16,3.44,1313.9,10,6,3.6481,2509.549,2509.549,3.6481,3.6481,1726333.21,16,6297836.183,6297836.183,10038.196,10038.196,6297836.183,2,5,1.645843,2.563102
567259,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260823,1.925466
567296,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.261455,1.92176
567336,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260332,1.917037
567359,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260375,1.917287
567402,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260901,1.918619
567442,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.261244,1.922011
567483,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260401,1.92151
567504,1,4,4,4,0,6,6,6,0,1.66,1.66,1.66,0,652.9,652.9,652.9,0,3,17,3.16,1251.2,6,7,2.7556,2076.992,2076.992,2.7556,2.7556,1565501.44,16,4313895.768,4313895.768,8307.968,8307.968,4313895.768,2,5,0.116035,0.57429
567534,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260546,1.916788
567567,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260387,1.925466
568233,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.264303,1.913552
568245,1,5,5,5,0,5,5,5,0,1.6,1.6,1.6,0,652.1,652.1,652.1,0,4,17,2.96,1139.9,5,7,2.56,1823.84,1823.84,2.56,2.56,1299372.01,25,3326392.346,3326392.346,9119.2,9119.2,3326392.346,2,5,1.420031,1.164685
568289,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.259778,0.722908
568301,1,6,6,6,0,15,15,15,0,2.02,2,2.02,0,703,703,703,0,4,17,2.96,1139.9,5,7,4.0804,2302.598,2302.598,4.0804,4.0804,1299372.01,36,5301957.55,5301957.55,13815.588,13815.588,5301957.55,2,5,2.930389,2.135398
568394,1,5,5,5,0,6,6,6,0,2.16,2,2.16,0,684.3,684.3,684.3,0,3,17,3.16,1251.2,6,7,4.6656,2702.592,2702.592,4.6656,4.6656,1565501.44,25,7304003.518,7304003.518,13512.96,13512.96,7304003.518,2,5,0.11456,6.36715
568690,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,4,17,2.96,1139.9,12,7,2.8561,1926.431,1926.431,2.8561,2.8561,1299372.01,25,3711136.398,3711136.398,9632.155,9632.155,3711136.398,2,5,3.097991,10.284308
568722,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,4,17,2.96,1139.9,12,7,2.8561,1926.431,1926.431,2.8561,2.8561,1299372.01,25,3711136.398,3711136.398,9632.155,9632.155,3711136.398,2,5,3.096576,3.661387
569005,1,5,5,5,0,6,6,6,0,2.16,2,2.16,0,684.3,684.3,684.3,0,3,17,3.16,1251.2,6,7,4.6656,2702.592,2702.592,4.6656,4.6656,1565501.44,25,7304003.518,7304003.518,13512.96,13512.96,7304003.518,2,5,0.352787,3.795777
569175,1,5,5,5,0,4,4,4,0,1.33,1.33,1.33,0,640.1,640.1,640.1,0,3,17,3.16,1251.2,4,7,1.7689,1664.096,1664.096,1.7689,1.7689,1565501.44,25,2769215.497,2769215.497,8320.48,8320.48,2769215.497,2,5,3.371048,1.110093
569436,1,5,5,5,0,6,6,6,0,2.16,2,2.16,0,684.3,684.3,684.3,0,3,17,3.16,1251.2,6,7,4.6656,2702.592,2702.592,4.6656,4.6656,1565501.44,25,7304003.518,7304003.518,13512.96,13512.96,7304003.518,2,5,0.00546,3.063942
569578,1,5,5,5,0,5,5,5,0,1.6,1.6,1.6,0,652.1,652.1,652.1,0,5,17,2.66,1008.4,5,7,2.56,1613.44,1613.44,2.56,2.56,1016870.56,25,2603188.634,2603188.634,8067.2,8067.2,2603188.634,2,5,0.649785,0.695086
569715,1,6,3,4,0.666667,16,15,15.666667,0.222222,2.55,2,2.411111,0.040721,1011.8,703,930.288889,7292.969877,4,11,1.9,745.5,5,11,6.14833305,1901.025,1797.483251,6.5025,5.813456254,555770.25,9,3613896.051,3230946.036,5703.075,5392.449752,3417060.596,2,5,0.858676,0.903956
569756,1,4,4,4,0,4,4,4,0,1.54,1.54,1.54,0,658.8,658.8,658.8,0,3,17,3.16,1251.2,4,7,2.3716,1926.848,1926.848,2.3716,2.3716,1565501.44,16,3712743.215,3712743.215,7707.392,7707.392,3712743.215,2,5,0.77433,3.285073
569890,1,4,4,4,0,6,6,6,0,1.66,1.66,1.66,0,652.9,652.9,652.9,0,3,17,3.16,1251.2,6,7,2.7556,2076.992,2076.992,2.7556,2.7556,1565501.44,16,4313895.768,4313895.768,8307.968,8307.968,4313895.768,2,5,0.129171,5.876808
569960,1,4,4,4,0,12,12,12,0,1.65,1.65,1.65,0,906.4,906.4,906.4,0,4,17,2.96,1139.9,12,7,2.7225,1880.835,1880.835,2.7225,2.7225,1299372.01,16,3537540.297,3537540.297,7523.34,7523.34,3537540.297,2,5,2.936528,4.223573
569964,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.261362,1.924914
569994,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260228,1.917038
570019,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.261624,1.924162
570054,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.266041,0.725912
